tokens,time- exitRight,time- exitLeft
1,0.7319,1.1157
2,2.9222,1.912
3,3.2071,2.5711
4,3.9325,2.8273
5,8.8018,4.1451
6,10.0107,4.9184
7,11.9081,5.5862
8,14.2283,6.215
9,15.5114,7.9938
10,17.2622,9.3966
11,17.4943,9.5268
12,21.6006,9.8005
13,22.7241,10.3273
14,24.166,11.9107
15,24.7955,12.1195
16,25.4722,12.5436
17,25.5438,13.2362
18,25.7353,14.6702
19,26.5024,16.9107
20,27.295,20.4368
21,27.4791,21.5345
22,27.8038,22.2956
23,29.2705,22.8335
24,29.8354,23.2339
25,31.4165,23.6822
26,31.7402,23.8318
27,32.072,29.0566
28,33.0755,29.3813
29,33.5513,29.4088
30,36.1593,31.1891
31,36.9216,44.052
32,41.8833,44.4942
33,42.2839,58.913
34,43.2076,58.9899
35,43.5642,62.3899
36,43.7297,63.2258
37,44.9419,71.0096
38,45.7054,73.4352
39,51.2833,74.4481
40,51.4514,76.2661
41,57.9568,80.03
42,62.754,80.522
43,84.2323,84.1493
44,88.8859,84.5914
45,93.7829,85.7088
46,98.5159,86.9714
47,100.2776,87.8012
48,106.5773,88.4293
49,111.8345,95.5935
50,112.7844,96.4133
51,112.8969,103.4539
52,113.056,105.21
53,114.4983,117.6967
54,118.0138,117.7119
55,126.101,119.9003
56,128.145,120.6472
57,137.148,123.9273
58,137.737,124.7356
59,139.2473,125.7076
60,153.3634,127.6261
61,154.1598,130.0613
62,155.1273,132.0081
63,156.2391,134.2714
64,159.7486,135.0694
65,166.1651,135.3353
66,169.2058,135.6388
67,170.8292,135.7491
68,171.4155,136.269
69,176.5522,139.4376
70,179.7154,145.5206
71,180.3799,147.2215
72,182.0019,151.1483
73,185.2744,151.3541
74,192.3628,151.4027
75,194.7766,156.0809
76,195.3204,157.0579
77,201.9915,157.3897
78,205.6659,157.4928
79,212.6801,158.5929
80,226.8459,158.986
81,228.0287,161.4927
82,229.2524,163.6533
83,229.459,163.9261
84,232.9164,164.8091
85,235.4069,165.0538
86,235.5224,172.1933
87,235.59,173.0168
88,236.1873,191.9336
89,237.9651,194.5315
90,244.0273,196.2289
91,244.7171,197.0644
92,251.4388,198.9056
93,252.1371,219.2661
94,252.4419,219.3922
95,252.9076,230.4994
96,253.2798,231.2456
97,255.705,232.0136
98,256.0435,232.5882
99,263.7431,
100,263.9298,
101,266.4162,
102,275.4353,
103,280.1582,
104,281.4248,
105,287.7397,
106,289.6775,
107,296.1193,
108,298.5341,
109,300.55,
110,300.7621,
111,301.0681,
112,302.0223,
113,306.6081,
114,316.6336,
115,321.9124,
116,328.0471,
117,330.9442,
118,336.6883,
119,337.9019,
120,345.1385,
121,345.8831,
122,348.2876,
123,353.0081,